Br2,00001,00002,00003,00004,00005,00006,00007,00008,00009,00010,00011,00012,00013,00014,00015,00016,00017,00018,00019,00020
00001,,0.2525,0.2095,0.2705,0.0515,0.0525,0.273,0.054,0.0535,0.27,0.2645,0.2165,0.242,0.2645,0.26,0.056,0.29,0.052,0.0515,0.2705
00002,20.342,,37.7785,38.7685,20.1585,20.393500000000003,39.174,20.9685,20.2495,38.4765,38.448,38.168,38.417,38.4365,38.6145,1.0605,38.8455,20.312,38.223,38.8665
00003,0.106,25.996,,26.432,0.1075,0.1075,26.7995,0.1105,0.1065,26.353,26.2325,26.0725,26.254,26.304,26.2555,0.109,26.362,0.1075,25.988,26.4595
00004,20.7975,39.8955,39.623,,20.606,20.747,39.809,21.127,21.1095,39.9125,40.028,39.819,39.954,40.14,40.096,0.111,40.036,20.427,39.925,40.191500000000005
00005,0.0615,0.306,0.2595,0.32,,0.062,0.3205,0.063,0.06,0.318,0.3115,0.2635,0.2895,0.314,0.308,0.0645,0.3235,0.0615,0.263,0.3185
00006,1.2285,1.215,1.2320000000000002,1.2245,1.165,,1.238,1.246,1.2465,1.2225,1.2280000000000002,1.1775,1.1825,1.23,1.2235,1.237,1.2200000000000002,1.1720000000000002,1.1725,1.227
00007,0.117,18.912,18.655,19.222,0.1169999999999999,0.1155,,0.119,0.1195,18.985,18.886000000000003,18.8995,19.0225,19.1165,18.9695,0.119,19.0,0.116,18.778,19.203
00008,0.0545,0.3,0.256,0.3155,0.052,0.0535,0.3155,,0.0555,0.318,0.3075,0.262,0.2925,0.321,0.301,0.0545,0.319,0.052,0.258,0.312
00009,0.0615,0.0625,0.06,0.064,0.0605,0.0605,0.0615,0.062,,0.069,0.0615,0.0605,0.0605,0.0615,0.0615,0.065,0.062,0.06,0.062,0.066
00010,0.106,19.8115,19.6645,19.818,0.104,0.109,19.613,0.1115,0.119,,19.7865,19.663,19.769,19.834,19.8435,0.1105,19.8115,0.108,19.678,19.925
00011,26.5555,51.59,51.1925,52.1185,26.182,26.5015,51.6025,27.406,27.576,51.7935,,51.535,51.5865,51.763000000000005,51.671,0.109,51.8455,26.3825,51.4675,51.9995
00012,1.1185,22.289,21.945,22.3385,1.069,1.078,22.0465,1.0775,1.106,22.165,22.205,,22.0655,22.29,22.233,1.082,22.1455,1.073,22.006,22.3735
00013,19.1725,36.341,36.391000000000005,37.093,19.0645,19.142,36.748000000000005,19.582500000000003,19.11,36.6895,36.745,36.64,,36.748,36.839,0.1205,36.84,19.0555,36.664,37.1365
00014,34.679,65.85249999999999,64.634,65.5755,34.405,34.402,65.1115,36.1405,36.0645,65.086,65.1685,64.562,65.17,,65.56800000000001,1.072,65.20949999999999,34.282,65.106,65.7625
00015,19.678,37.9605,37.0045,38.1385,19.4765,19.8935,37.826,19.9775,19.978,37.9015,37.896,37.701,37.769,37.7675,,0.3555,37.946,19.6155,37.708,38.221
00016,21.456000000000003,1.2265,21.37,1.2545000000000002,21.2,21.27,21.5715,21.738,21.6535,21.5575,1.011,21.4185,1.215,1.2475,1.2225,,21.6115,21.238,21.413,1.2375
00017,0.1155,24.8835,24.696,25.046,0.1155,0.117,24.676,0.122,0.1195,24.768,24.902,24.7785,24.879,25.034,24.878500000000003,0.119,,0.1169999999999999,24.7105,24.9175
00018,0.0535,0.2545,0.21,0.2595,0.0525,0.053,0.2735,0.0745,0.0515,0.271,0.251,0.215,0.0515,0.261,0.254,0.054,0.261,,0.212,0.27
00019,1.076,17.397,17.2425,17.351,1.0645,1.061,17.322499999999998,1.08,1.1084999999999998,17.381,17.42,17.33,17.347,17.4285,17.4645,1.06,17.4435,1.0510000000000002,,17.555
00020,28.228,53.075,52.3735,52.6625,27.9565,27.956,52.435,28.992,29.2865,52.52,52.595,52.385000000000005,52.741,52.857,52.746,1.077,52.7455,28.087,52.475,
