Br2,max,mean,min
00001,0.29,0.1818157894736842,0.0515
00002,39.174,30.82636842105264,1.0605
00003,26.7995,16.64542105263158,0.106
00004,40.191500000000005,31.80813157894737,0.111
00005,0.3235,0.2256842105263158,0.06
00006,1.2465,1.2151578947368422,1.165
00007,19.222,12.024842105263158,0.1155
00008,0.321,0.2210526315789474,0.052
00009,0.069,0.06221052631578948,0.06
00010,19.925,12.525552631578948,0.104
00011,52.1185,41.09881578947369,0.109
00012,22.3735,14.405605263157891,1.069
00013,37.1365,29.269605263157892,0.1205
00014,65.85249999999999,52.307947368421054,1.072
00015,38.221,30.14810526315789,0.3555
00016,21.738,13.995368421052634,1.011
00017,25.046,15.736578947368423,0.1155
00018,0.2735,0.17805263157894738,0.0515
00019,17.555,11.378078947368422,1.0510000000000002
00020,53.075,42.273342105263154,1.077
