config1,config2,val
curl-00019,icurl-00003-00019,False
curl-00019,icurl-00004-00019,True
curl-00019,icurl-00005-00019,False
curl-00019,icurl-00006-00019,False
curl-00019,icurl-00007-00019,False
curl-00019,icurl-00008-00019,False
curl-00019,icurl-00009-00019,False
curl-00019,icurl-00010-00019,True
curl-00019,icurl-00011-00019,True
curl-00019,icurl-00012-00019,True
curl-00019,icurl-00013-00019,False
curl-00019,icurl-00014-00019,True
curl-00019,icurl-00015-00019,True
curl-00019,icurl-00016-00019,False
curl-00019,icurl-00017-00019,True
curl-00019,icurl-00018-00019,False
curl-00019,icurl-00020-00019,False
curl-00020,icurl-00001-00020,False
curl-00020,icurl-00002-00020,True
curl-00020,icurl-00003-00020,True
curl-00020,icurl-00004-00020,True
curl-00020,icurl-00005-00020,False
curl-00020,icurl-00006-00020,False
curl-00020,icurl-00007-00020,True
curl-00020,icurl-00008-00020,False
curl-00020,icurl-00009-00020,False
curl-00020,icurl-00010-00020,True
curl-00020,icurl-00011-00020,True
curl-00020,icurl-00012-00020,True
curl-00020,icurl-00013-00020,True
curl-00020,icurl-00014-00020,True
curl-00020,icurl-00015-00020,True
curl-00020,icurl-00016-00020,False
curl-00020,icurl-00017-00020,True
curl-00020,icurl-00018-00020,False
curl-00020,icurl-00019-00020,True
