config1,config2,val
xterm-00006,ixterm-00004-00006,True
xterm-00006,ixterm-00005-00006,True
xterm-00006,ixterm-00007-00006,True
xterm-00006,ixterm-00008-00006,True
xterm-00006,ixterm-00009-00006,True
xterm-00006,ixterm-00010-00006,True
xterm-00006,ixterm-00011-00006,True
xterm-00006,ixterm-00012-00006,True
xterm-00006,ixterm-00013-00006,True
xterm-00006,ixterm-00014-00006,True
xterm-00006,ixterm-00015-00006,True
xterm-00006,ixterm-00016-00006,True
xterm-00006,ixterm-00017-00006,True
xterm-00006,ixterm-00018-00006,True
xterm-00006,ixterm-00019-00006,True
xterm-00006,ixterm-00020-00006,True
xterm-00007,ixterm-00001-00007,True
xterm-00007,ixterm-00002-00007,True
xterm-00007,ixterm-00003-00007,True
xterm-00007,ixterm-00004-00007,True
xterm-00007,ixterm-00005-00007,True
xterm-00007,ixterm-00006-00007,True
xterm-00007,ixterm-00008-00007,True
xterm-00007,ixterm-00009-00007,True
xterm-00007,ixterm-00010-00007,True
xterm-00007,ixterm-00011-00007,True
xterm-00007,ixterm-00012-00007,True
xterm-00007,ixterm-00013-00007,True
xterm-00007,ixterm-00014-00007,True
xterm-00007,ixterm-00015-00007,True
xterm-00007,ixterm-00016-00007,True
xterm-00007,ixterm-00017-00007,True
xterm-00007,ixterm-00018-00007,True
xterm-00007,ixterm-00019-00007,True
xterm-00007,ixterm-00020-00007,True
xterm-00008,ixterm-00001-00008,True
xterm-00008,ixterm-00002-00008,True
xterm-00008,ixterm-00003-00008,True
xterm-00008,ixterm-00004-00008,True
xterm-00008,ixterm-00005-00008,True
xterm-00008,ixterm-00006-00008,True
xterm-00008,ixterm-00007-00008,True
xterm-00008,ixterm-00009-00008,True
xterm-00008,ixterm-00010-00008,True
xterm-00008,ixterm-00011-00008,True
xterm-00008,ixterm-00012-00008,True
xterm-00008,ixterm-00013-00008,True
xterm-00008,ixterm-00014-00008,True
xterm-00008,ixterm-00015-00008,True
xterm-00008,ixterm-00016-00008,True
xterm-00008,ixterm-00017-00008,True
xterm-00008,ixterm-00018-00008,True
xterm-00008,ixterm-00019-00008,True
xterm-00008,ixterm-00020-00008,True
xterm-00009,ixterm-00001-00009,True
xterm-00009,ixterm-00002-00009,True
xterm-00009,ixterm-00003-00009,True
xterm-00009,ixterm-00004-00009,True
xterm-00009,ixterm-00005-00009,True
xterm-00009,ixterm-00006-00009,True
xterm-00009,ixterm-00007-00009,True
xterm-00009,ixterm-00008-00009,True
xterm-00009,ixterm-00010-00009,True
xterm-00009,ixterm-00011-00009,True
xterm-00009,ixterm-00012-00009,True
