BranchC,Build Time,Binary Size
00001,37.7702,1913968
00002,38.1902,1938720
00003,34.4195,2278824
00004,69.6938,3047312
00005,37.9378,2442528
00006,65.8012,2845544
00007,21.1968,1601416
00008,20.7375,1657760
00009,66.1045,2836352
00010,32.0271,1749400
00011,65.2029,2838496
00012,37.5905,1914320
00013,20.5712,1572712
00014,17.8282,1463912
00015,33.8185,2223376
00016,18.5573,1554512
00017,40.4367,2046072
00018,19.0673,1564568
00019,34.9281,2281776
00020,37.5327,1914320
