BranchC,Build Time,Binary Size
00001,20.4903,4898824
00002,42.5022,3669216
00003,31.0698,644608
00004,42.3761,4356640
00005,24.6509,1067672
00006,27.5351,4516392
00007,20.8625,4292872
00008,34.8351,4783008
00009,28.8579,784552
00010,21.0266,4521984
00011,58.4415,4493712
00012,25.2024,855600
00013,39.1935,2741048
00014,75.7003,4759672
00015,40.2192,3637952
00016,43.4744,4077664
00017,28.4233,4670072
00018,21.1939,723024
00019,17.9057,1149776
00020,60.6331,4208096
