Branch,Option,bt_real,bt_user,bt_sys,BinarySize
icurl-00001-00008,"['--disable-shared', '--disable-libtool-lock', '--disable-optimize', '--enable-warnings', '--enable-maintainer-mode', '--enable-ares', '--enable-dependency-tracking', '--enable-http', '--enable-ftp', '--disable-ldap', '--enable-proxy', '--enable-dict', '--disable-pop3', '--disable-smb', '--disable-smtp', '--enable-gopher', '--enable-mqtt', '--disable-manual', '--enable-libcurl-option', '--disable-openssl-auto-load-config', '--disable-versioned-symbols', '--enable-pthreads', '--enable-crypto-auth', '--enable-ntlm-wb', '--enable-tls-srp', '--enable-unix-sockets', '--enable-cookies', '--enable-socketpair', '--enable-http-auth', '--enable-doh', '--enable-mime', '--disable-dateparse', '--disable-progress-meter', '--enable-dnsshuffle', '--enable-get-easy-options', '--enable-alt-svc', '--enable-code-coverage', '--enable-static', '--enable-fast-install', '--enable-libgcc']",24.544,20.730,4.185,4899592
icurl-00001-00009,"['--disable-shared', '--disable-largefile', '--disable-silent-rules', '--disable-debug', '--enable-optimize', '--disable-warnings', '--disable-symbol-hiding', '--enable-maintainer-mode', '--enable-ares', '--disable-http', '--disable-ldap', '--disable-proxy', '--disable-dict', '--disable-telnet', '--enable-tftp', '--disable-imap', '--disable-smtp', '--enable-gopher', '--enable-mqtt', '--disable-manual', '--disable-ipv6', '--enable-openssl-auto-load-config', '--disable-versioned-symbols', '--enable-verbose', '--disable-sspi', '--enable-crypto-auth', '--disable-ntlm-wb', '--disable-tls-srp', '--enable-cookies', '--enable-socketpair', '--disable-http-auth', '--enable-doh', '--disable-mime', '--enable-dateparse', '--enable-netrc', '--disable-progress-meter', '--enable-dnsshuffle', '--enable-get-easy-options', '--disable-alt-svc', '--enable-hsts', '--enable-code-coverage', '--enable-static']",25.935,21.642,4.599,3838144
icurl-00001-00019,"['--disable-shared', '--disable-largefile', '--disable-libtool-lock', '--enable-silent-rules', '--enable-debug', '--disable-warnings', '--enable-curldebug', '--enable-symbol-hiding', '--disable-ares', '--disable-file', '--disable-ldap', '--disable-ldaps', '--disable-rtsp', '--disable-dict', '--enable-telnet', '--enable-tftp', '--enable-pop3', '--disable-imap', '--enable-smb', '--enable-smtp', '--disable-gopher', '--disable-mqtt', '--disable-manual', '--disable-versioned-symbols', '--disable-threaded-resolver', '--enable-pthreads', '--disable-verbose', '--disable-sspi', '--disable-crypto-auth', '--disable-ntlm-wb', '--enable-unix-sockets', '--enable-cookies', '--enable-socketpair', '--enable-http-auth', '--disable-doh', '--enable-mime', '--disable-dnsshuffle', '--disable-get-easy-options', '--disable-alt-svc', '--enable-hsts', '--enable-hidden-symbols', '--enable-code-coverage', '--enable-static', '--enable-fast-install', '--enable-libgcc']",41.630,33.430,9.035,4119800
icurl-00001-00011,"['--disable-shared', '--disable-largefile', '--disable-silent-rules', '--disable-warnings', '--enable-curldebug', '--enable-maintainer-mode', '--enable-ares', '--disable-dependency-tracking', '--disable-http', '--enable-ldap', '--disable-dict', '--enable-telnet', '--disable-tftp', '--disable-pop3', '--disable-imap', '--disable-smb', '--disable-smtp', '--disable-gopher', '--disable-manual', '--enable-libcurl-option', '--enable-ipv6', '--enable-openssl-auto-load-config', '--enable-versioned-symbols', '--disable-sspi', '--disable-crypto-auth', '--enable-ntlm-wb', '--disable-unix-sockets', '--disable-cookies', '--enable-socketpair', '--disable-http-auth', '--disable-doh', '--enable-mime', '--enable-netrc', '--enable-progress-meter', '--enable-dnsshuffle', '--enable-get-easy-options', '--enable-alt-svc', '--disable-hsts', '--enable-hidden-symbols', '--enable-static', '--enable-libgcc']",1.233,1.158,0.081,4687080
icurl-00001-00016,"['--disable-shared', '--disable-largefile', '--disable-warnings', '--disable-curldebug', '--disable-symbol-hiding', '--disable-hidden-symbols', '--disable-ares', '--enable-dependency-tracking', '--disable-http', '--disable-file', '--disable-ldap', '--disable-proxy', '--disable-dict', '--disable-telnet', '--enable-tftp', '--enable-pop3', '--disable-imap', '--enable-smb', '--disable-smtp', '--disable-gopher', '--disable-mqtt', '--enable-libcurl-option', '--enable-ipv6', '--enable-openssl-auto-load-config', '--enable-versioned-symbols', '--enable-pthreads', '--disable-verbose', '--enable-sspi', '--enable-crypto-auth', '--disable-tls-srp', '--disable-unix-sockets', '--enable-cookies', '--disable-socketpair', '--disable-http-auth', '--disable-doh', '--disable-dateparse', '--enable-netrc', '--disable-progress-meter', '--disable-dnsshuffle', '--enable-get-easy-options', '--disable-alt-svc', '--enable-hidden-symbols', '--enable-static', '--enable-libgcc']",19.517,15.811,4.092,734264
icurl-00001-00013,"['--disable-shared', '--disable-libtool-lock', '--disable-silent-rules', '--disable-debug', '--enable-optimize', '--disable-symbol-hiding', '--enable-ares', '--disable-dependency-tracking', '--enable-http', '--enable-ftp', '--disable-file', '--disable-ldap', '--enable-ldaps', '--disable-rtsp', '--disable-proxy', '--enable-dict', '--disable-telnet', '--disable-tftp', '--enable-imap', '--enable-smb', '--disable-smtp', '--disable-gopher', '--disable-mqtt', '--disable-manual', '--enable-libcurl-option', '--disable-ipv6', '--enable-versioned-symbols', '--disable-threaded-resolver', '--enable-verbose', '--enable-sspi', '--disable-crypto-auth', '--disable-tls-srp', '--enable-unix-sockets', '--enable-cookies', '--enable-socketpair', '--disable-http-auth', '--enable-doh', '--disable-mime', '--disable-dateparse', '--disable-netrc', '--disable-dnsshuffle', '--enable-get-easy-options', '--enable-alt-svc', '--enable-hidden-symbols', '--enable-static', '--enable-fast-install', '--enable-libgcc']",0.272,0.222,0.057,4687080
icurl-00001-00018,"['--disable-shared', '--disable-largefile', '--disable-libtool-lock', '--disable-curldebug', '--disable-ares', '--enable-dependency-tracking', '--disable-http', '--disable-ftp', '--enable-file', '--enable-ldap', '--enable-ldaps', '--disable-rtsp', '--enable-proxy', '--enable-dict', '--enable-tftp', '--enable-imap', '--enable-smb', '--disable-mqtt', '--disable-manual', '--disable-libcurl-option', '--disable-ipv6', '--enable-openssl-auto-load-config', '--disable-versioned-symbols', '--disable-verbose', '--disable-sspi', '--enable-crypto-auth', '--disable-ntlm-wb', '--enable-tls-srp', '--disable-unix-sockets', '--enable-cookies', '--enable-http-auth', '--enable-doh', '--disable-mime', '--enable-dateparse', '--disable-netrc', '--enable-progress-meter', '--enable-hsts', '--enable-code-coverage', '--enable-static', '--enable-libgcc']",19.031,14.965,4.430,3779784
icurl-00001-00003,"['--disable-shared', '--disable-largefile', '--enable-silent-rules', '--enable-optimize', '--enable-warnings', '--disable-curldebug', '--enable-symbol-hiding', '--disable-ares', '--enable-dependency-tracking', '--enable-http', '--enable-ftp', '--enable-file', '--enable-ldap', '--disable-rtsp', '--disable-proxy', '--enable-dict', '--enable-tftp', '--enable-pop3', '--disable-smtp', '--disable-gopher', '--disable-mqtt', '--disable-manual', '--enable-ipv6', '--enable-openssl-auto-load-config', '--disable-versioned-symbols', '--enable-pthreads', '--disable-verbose', '--enable-crypto-auth', '--disable-ntlm-wb', '--disable-tls-srp', '--enable-unix-sockets', '--disable-socketpair', '--disable-http-auth', '--enable-doh', '--enable-mime', '--disable-dateparse', '--enable-progress-meter', '--enable-dnsshuffle', '--enable-get-easy-options', '--disable-alt-svc', '--enable-code-coverage', '--enable-fast-install']",29.710,25.910,4.154,4636688
icurl-00001-00002,"['--disable-shared', '--enable-debug', '--enable-optimize', '--enable-warnings', '--disable-curldebug', '--enable-http', '--disable-ftp', '--enable-ldap', '--disable-ldaps', '--disable-rtsp', '--enable-proxy', '--enable-dict', '--disable-telnet', '--disable-pop3', '--enable-smb', '--enable-smtp', '--disable-mqtt', '--enable-manual', '--disable-libcurl-option', '--disable-ipv6', '--enable-versioned-symbols', '--disable-threaded-resolver', '--enable-verbose', '--enable-sspi', '--enable-crypto-auth', '--disable-ntlm-wb', '--enable-tls-srp', '--enable-unix-sockets', '--disable-cookies', '--disable-http-auth', '--enable-mime', '--disable-dateparse', '--disable-netrc', '--disable-progress-meter', '--enable-dnsshuffle', '--enable-alt-svc', '--enable-hsts', '--enable-hidden-symbols', '--enable-code-coverage', '--enable-fast-install']",68.092,60.145,8.718,4635488
icurl-00002-00006,"['--disable-shared', '--disable-largefile', '--disable-libtool-lock', '--disable-silent-rules', '--enable-debug', '--enable-optimize', '--enable-curldebug', '--disable-symbol-hiding', '--enable-maintainer-mode', '--disable-ares', '--enable-http', '--enable-ftp', '--disable-file', '--enable-ldap', '--disable-rtsp', '--enable-proxy', '--enable-telnet', '--disable-tftp', '--disable-imap', '--disable-smb', '--enable-smtp', '--disable-gopher', '--enable-mqtt', '--disable-manual', '--enable-openssl-auto-load-config', '--disable-versioned-symbols', '--enable-verbose', '--enable-crypto-auth', '--disable-ntlm-wb', '--enable-tls-srp', '--disable-http-auth', '--enable-doh', '--enable-mime', '--enable-netrc', '--enable-progress-meter', '--disable-dnsshuffle', '--enable-hsts', '--enable-hidden-symbols', '--enable-static', '--enable-fast-install']",66.260,57.555,9.378,4527616
