Br2,max,mean,min
00001,65.698,27.07510526315789,0.009
00002,57.242,35.55426315789473,0.01
00003,64.446,26.687578947368422,0.009
00004,66.087,27.275842105263155,0.009
00005,48.967,30.17826315789474,0.01
00006,97.628,52.30663157894736,0.01
00007,53.847,22.237263157894734,0.009
00008,64.917,26.711526315789474,0.009
00009,50.234,20.803473684210523,0.009
00010,57.835,23.916999999999998,0.009
00011,49.192,20.411421052631574,0.009
00012,52.745,38.038947368421056,0.009
00013,51.716,32.036,0.01
00014,65.737,30.717157894736836,0.009
00015,82.223,36.07894736842105,0.01
00016,60.491,36.288999999999994,0.01
00017,50.579,31.190052631578947,0.01
00018,65.33,27.062684210526317,0.009
00019,65.493,27.163842105263154,0.009
00020,59.965,36.209105263157895,0.01
