BranchC,Build Time,Binary Size
00001,11.345,3255944
00002,11.261,3239240
00003,10.35,3020352
00004,8.802,2676232
00005,10.099,2951672
00006,10.085,2978064
00007,8.998,2644256
00008,8.268,2620824
00009,12.684,3539272
00010,10.706,3051592
00011,10.382,2934360
00012,10.773,3189624
00013,8.424,2562776
00014,11.616,3362936
00015,11.916,3284152
00016,9.778,2735152
00017,7.55,2407800
00018,11.689,3385544
00019,10.547,2878640
00020,8.378,2633736
