,Branch,Option,bt_real,BinarySize
0,isqlite-00001-00002,"['--disable-option-checking', '--disable-libtool-lock', '--disable-largefile', '--disable-threadsafe', '--disable-tcl', '--disable-readline', '--disable-amalgamation', '--disable-math', '--enable-fast-install', '--enable-releasemode', '--enable-editline', '--enable-memsys5', '--enable-fts3', '--enable-fts5', '--enable-json1', '--enable-rtree', '--enable-session']",55.4875,10169536
1,isqlite-00001-00003,"['--disable-threadsafe', '--disable-load-extension', '--enable-tempstore', '--enable-all', '--enable-memsys3', '--enable-fts4', '--enable-json1', '--enable-geopoly']",0.009999999999999998,10169536
2,isqlite-00001-00004,"['--disable-option-checking', '--disable-libtool-lock', '--disable-load-extension', '--enable-fast-install', '--enable-tempstore', '--enable-editline', '--enable-all', '--enable-memsys3', '--enable-memsys5', '--enable-fts3', '--enable-json1', '--enable-update-limit', '--enable-rtree']",0.009,10169536
3,isqlite-00001-00005,"['--disable-libtool-lock', '--disable-threadsafe', '--disable-readline', '--disable-amalgamation', '--disable-math', '--enable-fast-install', '--enable-editline', '--enable-fts4', '--enable-json1', '--enable-session']",47.040499999999994,10169536
4,isqlite-00001-00006,"['--disable-option-checking', '--disable-libtool-lock', '--disable-amalgamation', '--enable-fast-install', '--enable-releasemode', '--enable-all', '--enable-fts3', '--enable-fts4', '--enable-json1', '--enable-update-limit', '--enable-geopoly', '--enable-session']",56.552,10169536
5,isqlite-00001-00007,"['--disable-readline', '--enable-fast-install', '--enable-releasemode', '--enable-tempstore', '--enable-editline', '--enable-memsys3', '--enable-fts5', '--enable-update-limit', '--enable-rtree', '--enable-gcov']",0.0095,10169536
6,isqlite-00001-00008,"['--disable-option-checking', '--disable-threadsafe', '--disable-readline', '--disable-load-extension', '--disable-math', '--enable-fast-install', '--enable-releasemode', '--enable-editline', '--enable-all', '--enable-memsys3', '--enable-memsys5', '--enable-fts4', '--enable-json1', '--enable-rtree', '--enable-session', '--enable-gcov']",0.009999999999999998,10169536
7,isqlite-00001-00009,"['--disable-largefile', '--disable-threadsafe', '--disable-tcl', '--disable-readline', '--enable-tempstore', '--enable-memsys3', '--enable-fts3', '--enable-gcov']",0.010499999999999999,10169536
8,isqlite-00001-00010,"['--disable-option-checking', '--disable-libtool-lock', '--disable-largefile', '--disable-readline', '--disable-math', '--enable-releasemode', '--enable-editline', '--enable-memsys5', '--enable-fts4', '--enable-json1', '--enable-update-limit', '--enable-geopoly', '--enable-session', '--enable-gcov']",0.0095,10169536
9,isqlite-00001-00011,"['--disable-largefile', '--disable-threadsafe', '--enable-tempstore', '--enable-memsys5', '--enable-json1', '--enable-update-limit', '--enable-geopoly', '--enable-session']",0.009999999999999998,10169536
