BranchC,Build Time,Binary Size
00001,38.69,1913968
00002,39.077,1938720
00003,35.477,2278824
00004,71.547,3047312
00005,38.999,2442528
00006,67.042,2845544
00007,21.571,1601416
00008,21.015,1657760
00009,67.336,2836352
00010,32.745,1749400
00011,66.631,2838496
00012,38.53,1914320
00013,20.941,1572712
00014,18.143,1463912
00015,34.483,2223376
00016,18.868,1554512
00017,41.3,2046072
00018,19.397,1564568
00019,35.671,2281776
00020,38.458,1914320
