BranchC,Build Time,Binary Size
00001,37.481,1913968
00002,38.118,1938720
00003,34.342,2278824
00004,69.606,3047312
00005,37.489,2442528
00006,64.954,2845544
00007,21.021,1601416
00008,20.574,1657760
00009,65.468,2836352
00010,31.794,1749400
00011,64.812,2838496
00012,37.731,1914320
00013,20.274,1572712
00014,17.651,1463912
00015,33.344,2223376
00016,18.266,1554512
00017,40.172,2046072
00018,18.874,1564568
00019,34.629,2281776
00020,37.282,1914320
