Branch,Option,bt_real,bt_user,bt_sys,BinarySize
ix264-00015-00004,"['--disable-thread', '--disable-win32thread', '--bit-depth=10', '--chroma-format=400', '--enable-bashcompletion']",40.6831,0.0000,0.0008,1720304
ix264-00015-00007,"['--disable-asm', '--disable-gpl', '--disable-interlaced', '--bit-depth=10', '--chroma-format=400', '--disable-bashcompletion']",21.6059,0.0000,0.0010,1440352
ix264-00015-00017,"['--disable-asm', '--disable-gpl', '--disable-thread', '--disable-win32thread', '--bit-depth=all', '--chroma-format=444', '--enable-bashcompletion']",42.7122,0.0005,0.0003,2278824
ix264-00015-00008,"['--disable-gpl', '--disable-win32thread', '--bit-depth=10', '--chroma-format=all', '--enable-bashcompletion']",45.4064,0.0009,0.0000,1866608
ix264-00015-00009,"['--bit-depth=8', '--chroma-format=all', '--enable-bashcompletion']",52.4932,0.0000,0.0009,2046072
ix264-00015-00019,"['--disable-win32thread', '--bit-depth=8', '--chroma-format=444', '--enable-bashcompletion']",47.3413,0.0000,0.0011,1942672
ix264-00015-00001,"['--bit-depth=8', '--chroma-format=422', '--disable-bashcompletion']",45.5828,0.0000,0.0009,1938928
ix264-00015-00011,"['--disable-asm', '--disable-gpl', '--bit-depth=all', '--chroma-format=420', '--enable-bashcompletion']",44.4623,0.0005,0.0003,2285496
ix264-00015-00016,"['--bit-depth=all', '--chroma-format=all', '--enable-bashcompletion']",85.2102,0.0001,0.0007,3108808
ix264-00015-00013,"['--disable-gpl', '--disable-thread', '--disable-interlaced', '--bit-depth=8', '--chroma-format=400', '--disable-bashcompletion']",43.0691,0.0005,0.0003,1879304
ix264-00015-00018,"['--disable-asm', '--disable-interlaced', '--bit-depth=8', '--chroma-format=400', '--disable-bashcompletion']",21.8137,0.0000,0.0008,1539400
ix264-00015-00003,"['--disable-asm', '--disable-thread', '--disable-win32thread', '--disable-interlaced', '--bit-depth=8', '--chroma-format=420', '--disable-bashcompletion']",20.9266,0.0005,0.0003,1554512
