BranchC,Build Time,Binary Size
00001,40.3514,1938928
00002,20.1768,1488112
00003,19.9022,1554512
00004,34.5792,1720304
00005,79.4912,3094224
00006,71.0232,2879792
00007,19.9482,1440352
00008,36.6901,1866608
00009,43.2353,2046072
00010,39.136,2278824
00011,37.4127,2281400
00012,68.3144,2825856
00013,38.979,1879304
00014,19.9635,1554512
00015,35.4265,2271288
00016,75.7663,3108808
00017,39.6955,2278824
00018,20.1859,1539400
00019,42.1175,1942672
00020,34.5131,1720304
