inc,cle,time
c1,c1,23.56
c2,c16,38.17
c3,c1,25.99
c4,c16,39.82
c5,c5,24.99
c6,c6,23.61
c7,c6,18.66
c8,c8,34.05
c9,c9,29.37
c10,c5,19.66
c11,c16,51.47
c12,c5,22.01
c13,c16,36.34
c14,c16,64.56
c15,c16,37.70
c16,c16,44.38
c17,c1,24.71
c18,c18,23.26
c19,c18,17.33
c20,c16,52.37
