inc,cle,time
c1,c1,10.38
c2,c17,9.93
c3,c2,10.91
c4,c2,9.46
c5,c5,10.02
c6,c6,10.20
c7,c7,9.94
c8,c8,9.69
c9,c9,10.00
c10,c10,10.90
c11,c11,9.96
c12,c12,9.86
c13,c1,10.74
c14,c14,11.47
c15,c15,9.98
c16,c16,10.18
c17,c15,11.51
c18,c5,10.95
c19,c19,9.82
c20,c2,9.77
