inc,cle,time
c1,c13,24.69
c2,c11,67.95
c3,c11,29.63
c4,c11,36.75
c5,c11,21.32
c6,c13,65.67
c7,c11,26.98
c8,c13,24.39
c9,c13,25.80
c10,c11,46.52
c11,c11,23.47
c12,c13,37.59
c13,c13,23.40
c14,c13,19.61
c15,c11,41.64
c16,c13,19.32
c17,c13,21.18
c18,c13,18.93
c19,c13,41.48
c20,c11,24.82
