inc,cle,time
c1,c3,8.42
c2,c1,8.06
c3,c10,11.43
c4,c2,11.13
c5,c1,11.68
c6,c3,9.83
c7,c2,9.56
c8,c1,9.74
c9,c18,11.42
c10,c2,10.59
c11,c20,9.66
c12,c2,8.94
c13,c1,10.01
c14,c1,8.72
c15,c2,10.11
c16,c1,9.65
c17,c15,7.50
c18,c1,8.49
c19,c1,11.66
c20,c2,10.72
