inc,cle,time
c1,c3,63.42
c2,c2,94.24
c3,c3,101.89
c4,c4,103.8
c5,c5,83.63
c6,c20,94.30
c7,c7,90.24
c8,c8,101.67
c9,c9,82.28
c10,c10,91.83
c11,c11,82.95
c12,c12,87.05
c13,c13,89.91
c14,c14,105.17
c15,c15,87.05
c16,c16,96.4
c17,c17,84.8
c18,c18,103.32
c19,c19,103.58
c20,c16,56.32
