inc,cle,time
c1,c3,11.18
c2,c1,11.11
c3,c2,10.24
c4,c5,8.69
c5,c3,10.05
c6,c2,10.06
c7,c10,8.93
c8,c10,8.17
c9,c2,12.57
c10,c2,10.68
c11,c9,10.31
c12,c7,10.62
c13,c6,8.38
c14,c3,11.53
c15,c5,11.1
c16,c3,9.67
c17,c5,7.4
c18,c2,11.58
c19,c2,10.41
c20,c5,8.24
