inc,cle,time
c1,c1,61.07
c2,c2,65.67
c3,c3,68.35
c4,c4,68.64
c5,c5,68.55
c6,c3,70.02
c7,c7,57.08
c8,c8,59.41
c9,c9,72.58
c10,c10,71.36
c11,c11,68.11
c12,c12,68.57
c13,c13,54.45
c14,c14,70.82
c15,c15,62.49
c16,c16,65.98
c17,c17,67.85
c18,c18,58.87
c19,c19,72.43
c20,c20,70.91
