inc,cle,time
c1,c3,37.42
c2,c4,37.85
c3,c11,33.93
c4,c17,69.24
c5,c4,37.41
c6,c11,65.18
c7,c4,20.96
c8,c20,20.33
c9,c3,20.33
c10,c7,31.78
c11,c3,64.58
c12,c8,37.25
c13,c5,20.25
c14,c12,17.65
c15,c11,33.38
c16,c4,18.17
c17,c8,39.99
c18,c4,18.76
c19,c6,34.46
c20,c18,37.22
