inc,cle,time
c1,c18,11.43
c2,c18,10.28
c3,c3,11.9
c4,c18,10.52
c5,c5,10.24
c6,c6,10.37
c7,c7,11.20
c8,c9,11.28
c9,c9,11.24
c10,c10,10.59
c11,c11,10.29
c12,c18,10.06
c13,c17,10.58
c14,c14,10.44
c15,c15,10.53
c16,c16,12.46
c17,c17,10.53
c18,c20,11.17
c19,c19,11.59
c20,c20,10.19
